GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
frameworks,org.openapi.spring.openapi_yml.api,ApiUtil,27,0,0,0,9,0,2,0,2,0
frameworks,pt.com.francisco.dataaccess,TaskDbEntityMapperImpl,4,67,2,2,2,19,2,3,0,3
frameworks,pt.com.francisco.dataaccess,TaskDbEntity,0,45,0,0,0,8,0,13,0,13
frameworks,pt.com.francisco.dataaccess,TaskGatewayImpl,5,104,0,2,2,21,1,7,1,6
frameworks,pt.com.francisco,AppApplication,5,3,0,0,2,1,1,1,1,1
frameworks,org.openapitools.model,TaskResponse.StatusEnum,33,35,4,0,5,8,4,3,2,3
frameworks,org.openapitools.model,TaskRequest,131,24,14,0,25,10,14,7,7,7
frameworks,org.openapitools.model,TaskRequest.StatusEnum,10,58,1,3,2,11,2,5,1,4
frameworks,org.openapitools.model,TaskResponse,220,37,20,0,41,15,22,11,12,11
frameworks,pt.com.francisco.web,TaskRestController,0,111,0,2,0,19,0,7,0,6
frameworks,pt.com.francisco.launchers.springboot.configuration,UseCases,0,8,0,0,0,2,0,2,0,2
frameworks,pt.com.francisco.launchers.springboot.configuration,InterfaceAdapters,0,8,0,0,0,2,0,2,0,2
frameworks,pt.com.francisco.web.mappers,TaskRequestMapperImpl,16,37,5,3,7,12,5,3,0,3
frameworks,pt.com.francisco.web.mappers,TaskResponseMapperImpl,28,47,7,5,9,15,7,3,0,3
