GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
frameworks,org.openapi.spring.openapi_yml.api,ApiUtil,27,0,0,0,9,0,2,0,2,0
frameworks,pt.com.francisco.dataaccess,TaskDbEntityMapperImpl,36,35,3,1,11,10,3,2,1,2
frameworks,pt.com.francisco.dataaccess,TaskDbEntity,9,36,0,0,3,5,3,10,3,10
frameworks,pt.com.francisco.dataaccess,TaskGatewayImpl,100,9,2,0,22,1,7,1,6,1
frameworks,pt.com.francisco,AppApplication,5,3,0,0,2,1,1,1,1,1
frameworks,org.openapitools.model,TaskResponse.StatusEnum,68,0,4,0,13,0,7,0,5,0
frameworks,org.openapitools.model,TaskRequest,155,0,14,0,35,0,21,0,14,0
frameworks,org.openapitools.model,TaskRequest.StatusEnum,68,0,4,0,13,0,7,0,5,0
frameworks,org.openapitools.model,TaskResponse,257,0,20,0,56,0,33,0,23,0
frameworks,pt.com.francisco.web,TaskRestController,99,12,2,0,18,1,6,1,5,1
frameworks,pt.com.francisco.launchers.springboot.configuration,UseCases,0,8,0,0,0,2,0,2,0,2
frameworks,pt.com.francisco.launchers.springboot.configuration,InterfaceAdapters,0,8,0,0,0,2,0,2,0,2
frameworks,pt.com.francisco.web.mappers,TaskRequestMapperImpl,50,3,8,0,18,1,7,1,2,1
frameworks,pt.com.francisco.web.mappers,TaskResponseMapperImpl,72,3,12,0,23,1,9,1,2,1
